"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"IC17","SGP1917N5","1958.661mil","2092.52mil","1958.661mil","2092.52mil","1938.976mil","2122.047mil","B","360.00","EClamp8052P"
"IC16","SGP1917N5","1525.591mil","2092.52mil","1525.591mil","2092.52mil","1505.906mil","2122.047mil","B","360.00","EClamp8052P"
"IC15","SGP1917N5","1998.031mil","2194.882mil","1998.032mil","2194.882mil","1978.347mil","2224.409mil","B","360.00","EClamp8052P"
"IC14","SGP1917N5","1564.96mil","2194.882mil","1564.961mil","2194.882mil","1545.276mil","2224.409mil","B","360.00","EClamp8052P"
"IC13","SGP1917N5","1801.184mil","2194.882mil","1801.184mil","2194.882mil","1781.499mil","2224.409mil","B","360.00","EClamp8052P"
"IC12","SGP1917N5","1624.016mil","2092.52mil","1624.016mil","2092.52mil","1604.331mil","2122.047mil","B","360.00","EClamp8052P"
"SP6","M2.5-5mm","3584.646mil","2287.402mil","3584.646mil","2287.402mil","3584.646mil","2287.402mil","T","0.00","9774050151"
"SP5","M2.5-5mm","3584.646mil","1334.646mil","3584.646mil","1334.646mil","3584.646mil","1334.646mil","T","0.00","9774050151"
"SP4","M2.5-5mm","1177.166mil","1334.646mil","1177.166mil","1334.646mil","1177.166mil","1334.646mil","T","0.00","9774050151"
"SP3","M2.5-5mm","1177.166mil","2287.401mil","1177.166mil","2287.401mil","1177.166mil","2287.401mil","T","0.00","9774050151"
"R10","0402","409.449mil","407.48mil","409.449mil","407.48mil","409.449mil","426.378mil","B","270.00","10k"
"Q2","SOT-23","314.961mil","425.197mil","314.961mil","425.197mil","352.362mil","462.599mil","B","180.00","SI2323DS"
"R45","0402","125.591mil","846.85mil","125.591mil","846.85mil","125.591mil","827.953mil","B","90.00","330R"
"R44","0402","125.925mil","925.984mil","125.925mil","925.984mil","125.925mil","944.882mil","B","270.00","330R"
"R43","0402","2500.236mil","1043.701mil","2500.236mil","1043.701mil","2500.236mil","1062.598mil","T","270.00","4k7"
"R42","0402","2534.646mil","1043.701mil","2534.646mil","1043.701mil","2534.646mil","1062.598mil","T","270.00","4k7"
"D18","LED0603","98.425mil","826.772mil","98.425mil","826.772mil","125.925mil","826.772mil","T","180.00","KPT-1608EC"
"D17","LED0603","98.425mil","944.882mil","98.425mil","944.882mil","125.925mil","944.882mil","T","180.00","KPT-1608SGC"
"D16","LED0603","98.425mil","708.661mil","98.425mil","708.661mil","125.925mil","708.661mil","T","180.00","KPT-1608SGC"
"D15","LED0603","98.425mil","1062.992mil","98.425mil","1062.992mil","125.925mil","1062.992mil","T","180.00","KPT-1608SGC"
"D11","LED0603","1653.543mil","1102.362mil","1653.543mil","1102.362mil","1626.043mil","1102.362mil","T","0.00","KPT-1608SGC"
"J1","694106106102","3385.827mil","184.055mil","3385.827mil","62.992mil","3169.291mil","62.992mil","T","90.00","694106106102"
"J6","68715014522","1968.504mil","2559.055mil","1968.504mil","2559.055mil","1486.224mil","2520.08mil","B","360.00","68715014522"
"J3","693021010811","347.441mil","2135.827mil","657.48mil","2421.26mil","643.701mil","2350.791mil","B","90.00","693021010811"
"C32","0402","2183.071mil","535.433mil","2183.071mil","535.433mil","2183.071mil","554.331mil","T","270.00","1u"
"C4","0402","3162.677mil","2081.417mil","3162.677mil","2081.417mil","3143.78mil","2081.417mil","T","360.00","10p"
"R2","0402","3162.677mil","2120.787mil","3162.677mil","2120.787mil","3143.78mil","2120.787mil","T","360.00","1M"
"R7","0402","3221.732mil","2140.472mil","3221.732mil","2140.472mil","3221.732mil","2159.37mil","T","270.00","316k"
"R30","1206","2733.543mil","2006.614mil","2733.543mil","2006.614mil","2670.551mil","2006.614mil","T","360.00","0R05"
"R29","1206","2339.961mil","1551.181mil","2339.961mil","1551.181mil","2276.969mil","1551.181mil","T","360.00","0R05"
"IC7","SOT23-5","2733.543mil","1888.504mil","2733.543mil","1888.504mil","2778.819mil","1851.102mil","T","180.00","AD8211YRJ"
"IC6","SOT23-5","2339.961mil","1435.866mil","2339.961mil","1435.867mil","2385.236mil","1398.465mil","T","180.00","AD8211YRJ"
"C49","0402","2646.929mil","1872.756mil","2646.929mil","1872.756mil","2646.929mil","1853.858mil","T","90.00","100n"
"R28","0402","374.213mil","200.787mil","374.213mil","200.787mil","355.315mil","200.787mil","B","360.00","10k"
"J2","1759503-1","236.221mil","1811.024mil","236.22mil","1811.024mil","74.803mil","2275.59mil","T","270.00","1759503-1"
"J4","1759503-1","1692.914mil","1811.024mil","1692.913mil","1811.024mil","1531.496mil","2275.59mil","T","270.00","1759503-1"
"J5","114-00841-68","2189.961mil","261.142mil","2413.386mil","82.677mil","2316.732mil","48.268mil","T","0.00","114-00841-68"
"J7","Molex_HDMI_471511001","2779.528mil","192.913mil","2779.528mil","192.913mil","2602.362mil","325.197mil","B","180.00","47151-1001"
"J8","692122030100","1531.496mil","437.894mil","1531.496mil","330.709mil","1383.859mil","536.221mil","T","360.00","692122030100"
"J9","7498111001A","716.529mil","517.716mil","716.535mil","289.37mil","941.529mil","747.638mil","T","0.00","7498111001A"
"M1","Apalis-H","1968.505mil","1025.04mil","1968.505mil","1025.04mil","393.701mil","1186.457mil","B","360.00","MM70-314-310B1"
"D20","KPJA-2107","393.104mil","39.37mil","393.104mil","39.37mil","440.348mil","39.37mil","B","360.00","KPJA-2107SYCK"
"C1","0402","854.331mil","2081.693mil","854.331mil","2081.693mil","854.331mil","2062.795mil","T","90.00","4u7"
"C2","0603","1220.473mil","2062.992mil","1220.473mil","2062.992mil","1220.473mil","2090.492mil","T","270.00","10u"
"C3","0402","2769.095mil","1630.985mil","2769.095mil","1630.985mil","2750.197mil","1630.985mil","T","360.00","10p"
"C5","0402","2749.41mil","1519.685mil","2749.41mil","1519.685mil","2749.41mil","1500.787mil","T","90.00","470n"
"C6","0402","3142.992mil","1968.308mil","3142.992mil","1968.308mil","3142.992mil","1949.41mil","T","90.00","470n"
"C7","1206","2733.543mil","2207.402mil","2733.543mil","2207.402mil","2670.551mil","2207.402mil","T","360.00","47u"
"C8","1206","2733.543mil","2108.976mil","2733.543mil","2108.976mil","2670.551mil","2108.977mil","T","360.00","47u"
"C9","1206","2339.961mil","1757.559mil","2339.961mil","1757.559mil","2276.969mil","1757.56mil","T","360.00","47u"
"C10","1206","2339.961mil","1664.37mil","2339.961mil","1664.37mil","2276.969mil","1664.37mil","T","360.00","47u"
"C11","KEMET_C","3186.417mil","1377.953mil","3186.417mil","1377.953mil","3186.417mil","1479.134mil","T","270.00","22u"
"C12","KEMET_C","3580mil","1829.449mil","3580mil","1829.449mil","3580mil","1930.63mil","T","270.00","22u"
"C13","0402","2769.095mil","1732.283mil","2769.095mil","1732.283mil","2787.992mil","1732.283mil","T","180.00","10n"
"C14","0402","3162.677mil","2179.843mil","3162.677mil","2179.843mil","3181.575mil","2179.843mil","T","180.00","10n"
"C15","0402","2631.299mil","1232.283mil","2631.299mil","1232.283mil","2631.299mil","1213.386mil","T","90.00","470p"
"C16","0402","3024.882mil","1640.552mil","3024.882mil","1640.552mil","3024.882mil","1621.654mil","T","90.00","470p"
"C18","0603","3449.508mil","795.906mil","3449.508mil","795.906mil","3422.008mil","795.906mil","B","360.00","4u7"
